Date,Open,High,Low,Close,Volume,ticker
2012/3/27,164.52,164.89,163.13,163.24,10903040,GLD
2012/3/28,162.71,162.98,160.66,161.51,11006820,GLD
2012/3/29,161.14,161.46,159.81,161.28,11025810,GLD
2012/3/30,161.67,162.33,161.22,162.12,7533885,GLD
2012/4/2,161.96,163.56,161.81,162.94,7541074,GLD
2012/4/3,163.23,163.23,159.17,159.89,16820170,GLD
2012/4/4,157.7,158.03,156.58,157.21,15966330,GLD
2012/4/5,157.87,158.68,157.78,158.31,8966909,GLD
2012/4/9,159.72,160.01,158.91,159.37,8245637,GLD
2012/4/10,159.66,161.58,158.47,161.1,14287100,GLD
2012/4/11,161.2,161.54,160.74,161.065,10005100,GLD
2012/4/12,160.74,163.2,160.455,162.7,9225838,GLD
2012/4/13,162.451,162.46,160.17,160.85,10040890,GLD
2012/4/16,160.51,161.18,159.53,160.46,6670255,GLD
2012/4/17,160.54,160.96,158.75,160.27,7584911,GLD
2012/4/18,159.49,160.12,159.07,159.31,7462155,GLD
2012/4/19,160,160.64,159.02,159.43,9914331,GLD
2012/4/20,159.25,159.91,159.2,159.54,9148643,GLD
2012/4/23,158.2,159.18,157.88,159.07,8868304,GLD
2012/4/24,159.63,160.18,159.29,159.3,5199389,GLD
2012/4/25,159.48,159.96,157.76,159.62,15092800,GLD
2012/4/26,160.46,161.38,160.1,161.03,10917820,GLD
2012/4/27,161.78,161.97,161.15,161.38,8376263,GLD
2012/4/30,160.49,161.88,160.31,161.88,7969126,GLD
2012/5/1,162.09,162.18,160.89,161.32,7412860,GLD
2012/5/2,160.74,160.78,159.76,160.59,5632175,GLD
2012/5/3,159.16,159.48,158.37,158.97,13153040,GLD
2012/5/4,158.82,159.98,158.57,159.47,11388490,GLD
2012/5/7,159.31,159.34,158.45,159.08,4921777,GLD
2012/5/8,156.61,156.73,154.92,156,17847650,GLD
2012/5/9,154.1,154.98,153.6,154.47,13862740,GLD
2012/5/10,155.16,155.57,154.64,154.77,7454461,GLD
2012/5/11,153.44,154.47,153.24,153.56,8284540,GLD
